"id","title","url"
"nasa-iss-home","NASA: International Space Station","https://www.nasa.gov/international-space-station/"
"nasa-iss-facts","NASA: International Space Station facts and figures","https://www.nasa.gov/international-space-station/"
"iss-assembly","International Space Station assembly sequence and structure references","https://en.wikipedia.org/wiki/Assembly_of_the_International_Space_Station"
"jaxa-kibo","JAXA: Japanese Experiment Module Kibo","https://humans-in-space.jaxa.jp/en/kibo/"
"esa-columbus","ESA: Columbus laboratory","https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Columbus/Columbus_laboratory"
"cern-ams","CERN: Alpha Magnetic Spectrometer","https://home.cern/science/experiments/ams/"
